"PointID","x","y","Pressure","Velocity_x","Velocity_y","Temperature","Turb_Kin_Energy","Omega","Species_0","Species_1","Pressure_Coefficient","Density","Laminar_Viscosity","Heat_Capacity","Thermal_Conductivity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Residual_Pressure","Residual_Velocity_x","Residual_Velocity_y","Residual_Temperature","Residual_TKE","Residual_Omega","Residual_Species_0","Residual_Species_1","Diffusivity_0","Diffusivity_1","Eddy_Viscosity"
1970, 6.104351130404555e-02, 1.491761752497105e-02, -3.463104284925830e-01, -1.958201343466320e-01, 1.003461054196094e-02, 1.000000000000000e+00, 1.403342301694459e-08, 1.931166872465511e+05, 9.468248289444847e-01, 1.233416423807528e-04, -6.926208569851660e-01, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -3.608715130995163e-08, -4.124267556654471e-06, -4.761573141205362e-06, -1.087706075476982e-02, -6.483813894420089e-16, -5.942375139703415e-01, -2.728082272058123e-06, 2.656944457630150e-09, 1.000000000000000e-03, 1.000000000000000e-03, 7.266810143148421e-14
1971, 6.104351130404727e-02, 1.482608144927914e-02, -3.463363704272554e-01, -2.058561982400457e-01, 4.220175634551418e-02, 1.000000000000000e+00, 1.422494915591356e-07, 4.915432891764234e+04, 9.464958781171572e-01, 1.241003251935673e-04, -6.926727408545108e-01, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.063951130159542e-07, 2.298587970905918e-06, -7.662624439576397e-06, 1.526330067697395e-01, 1.376437799257767e-13, -3.244349463511487e-01, -2.937125726485325e-06, 2.733619770800039e-09, 1.000000000000000e-03, 1.000000000000000e-03, 2.893936194256124e-12
1972, 6.104351130404920e-02, 1.472437470238910e-02, -3.568634243818208e-01, -1.283512390969034e-01, 6.601521662289363e-02, 1.000000000000000e+00, 5.461841508842994e-07, 1.918494538686309e+04, 9.455088231766968e-01, 1.253270544736580e-04, -7.137268487636417e-01, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 7.014569279425962e-07, 7.796322004730834e-06, -5.518647143884579e-06, 2.114267639623973e-01, 1.188104279751984e-12, -2.128931650247723e-01, -2.460317934240064e-06, 2.568361948958206e-09, 1.000000000000000e-03, 1.000000000000000e-03, 2.846941390087561e-11
1973, 6.104351130405134e-02, 1.461136720245658e-02, -3.628427149538769e-01, -8.764766997269288e-03, 7.615116669392002e-02, 1.000000000000000e+00, 1.324404876341282e-06, 1.115749638970406e+04, 9.437823250398529e-01, 1.271785770803288e-04, -7.256854299077539e-01, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.732042700559876e-07, 7.978164247782762e-06, -3.306244760117853e-06, 1.426289249214299e-01, 5.642733238403725e-12, -1.024586003128690e-01, -1.756416330130257e-06, 2.325661064751623e-09, 1.000000000000000e-03, 1.000000000000000e-03, 1.187009011773841e-10
1974, 6.104351130405372e-02, 1.448580330972031e-02, -3.632103155988720e-01, 1.413485052322477e-01, 6.531977487174322e-02, 1.000000000000000e+00, 2.666501072802882e-06, 9.533907481853237e+03, 9.412402310543775e-01, 1.299626123426565e-04, -7.264206311977440e-01, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.958373225987934e-07, 1.138871969852926e-05, 3.750064421191044e-06, 5.902750365809339e-02, 2.212840435131245e-11, 1.280417800874534e-01, -1.594631888323586e-06, 1.784634258961128e-09, 1.000000000000000e-03, 1.000000000000000e-03, 2.796860655380051e-10
1975, 6.104351130405638e-02, 1.434628787700182e-02, -3.561135287545938e-01, 3.293869089269499e-01, 2.727080220781260e-02, 1.000000000000000e+00, 5.109932430332356e-06, 9.398108557079309e+03, 9.379818549485878e-01, 1.342560283233049e-04, -7.122270575091876e-01, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.199559859543176e-07, 1.551543646987575e-05, 1.336181527451149e-05, 6.629713168688145e-02, 5.688499753897850e-11, 3.206891134871839e-01, -3.180338217537551e-06, 9.037111073536074e-10, 1.000000000000000e-03, 1.000000000000000e-03, 5.437192387486522e-10
1976, 6.104351130405933e-02, 1.419127073662831e-02, -3.355442806541499e-01, 5.216982366641996e-01, -4.342185462567069e-02, 1.000000000000000e+00, 1.036495183324713e-05, 9.151169541444653e+03, 9.343907106065783e-01, 1.409923393006555e-04, -6.710885613082997e-01, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 6.940978345127152e-07, 1.891238029335864e-05, 2.067527753283251e-05, 2.092086529885471e-01, 1.745622897751839e-10, 3.925466978250535e-01, -6.573606308606029e-06, 8.222694115677657e-11, 1.000000000000000e-03, 1.000000000000000e-03, 1.132636848908261e-09
1977, 6.104351130406259e-02, 1.401902946566920e-02, -2.934250182579146e-01, 7.123964511550798e-01, -1.508624055170900e-01, 9.999999999999997e-01, 1.976207546868969e-05, 8.653167540379987e+03, 9.311723521056514e-01, 1.515170292275801e-04, -5.868500365158291e-01, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.264798443931862e-06, 2.170323960860332e-05, 2.106845247443328e-05, 6.826349373040795e-01, 4.429771776887209e-10, 4.211603180262297e-01, -1.026861377625075e-05, -3.574202925897168e-10, 1.000000000000000e-03, 1.000000000000000e-03, 2.283796699471033e-09
1978, 6.104351130406621e-02, 1.382765027082532e-02, -2.295890642865590e-01, 8.959203207636508e-01, -2.962075648499230e-01, 9.999999999999998e-01, 3.703725541739223e-05, 7.995583214584783e+03, 9.291403059185377e-01, 1.678951039794050e-04, -4.591781285731179e-01, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.274758320096888e-06, 2.379707227746968e-05, 1.336372700352149e-05, 1.288458752542883e+00, 1.035913447606341e-09, 2.831828680039011e-01, -1.216518071382125e-05, 5.374688118568969e-10, 1.000000000000000e-03, 1.000000000000000e-03, 4.632214364279567e-09
1979, 6.104351130407025e-02, 1.361500671951922e-02, -1.447843109872421e-01, 1.069598371061159e+00, -4.757703515180222e-01, 9.999999999999996e-01, 6.880442506018236e-05, 7.343914459660700e+03, 9.290747143914717e-01, 1.933076034011611e-04, -2.895686219744841e-01, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 4.878568727815645e-06, 2.394314403841556e-05, 5.082241754349966e-06, 1.470453790962723e+00, 2.415657823871483e-09, 1.831531079055791e-01, -1.115472337591065e-05, 1.795261461710312e-09, 1.000000000000000e-03, 1.000000000000000e-03, 9.368903387712010e-09
1980, 6.104351130407473e-02, 1.337873610955227e-02, -3.569702717856563e-02, 1.238356142781778e+00, -6.814643655368990e-01, 9.999999999999997e-01, 1.267267437494171e-04, 6.699027852047742e+03, 9.314805582375326e-01, 2.326570026101767e-04, -7.139405435713127e-02, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.105301575369440e-06, 2.440037866566197e-05, 2.179429843275919e-06, 1.538793542603513e+00, 5.350718392203307e-09, 1.020764366284263e-01, -7.730029987231149e-06, 4.164483640841757e-09, 1.000000000000000e-03, 1.000000000000000e-03, 1.891718418675921e-08
1981, 6.104351130407971e-02, 1.311621321754512e-02, 9.225349242123795e-02, 1.408431365555667e+00, -9.003718576186515e-01, 9.999999999999999e-01, 2.295003991125608e-04, 6.041016156975391e+03, 9.364275119742069e-01, 2.937267597457275e-04, 1.845069848424759e-01, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.183339373526183e-06, 2.890520271689679e-05, -1.324140348827503e-05, 1.562314985579974e+00, 1.113062690751525e-08, 4.950425101804795e-02, -2.134476959116515e-06, 8.334372854954743e-09, 1.000000000000000e-03, 1.000000000000000e-03, 3.799036340062809e-08
1982, 6.104351130408525e-02, 1.282452111728040e-02, 2.208390035540491e-01, 1.570621925622476e+00, -1.112205393605850e+00, 9.999999999999999e-01, 3.953425915709895e-04, 5.350240560594587e+03, 9.433863887819414e-01, 3.886873454107279e-04, 4.416780071080982e-01, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.602263645451052e-06, 3.479106038191923e-05, -3.533294061907020e-05, 7.843506274127076e-01, 2.050193074470746e-08, 2.888441424937699e-02, 5.391424204744411e-06, 1.461183542390780e-08, 1.000000000000000e-03, 1.000000000000000e-03, 7.389248896259984e-08
1983, 6.104351130409137e-02, 1.250041877432486e-02, 3.841179204130416e-01, 1.699227402170333e+00, -1.295745671292237e+00, 1.000000000000000e+00, 6.636485415314675e-04, 4.649701962605011e+03, 9.517142430093966e-01, 5.345357615015126e-04, 7.682358408260832e-01, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.231018416656196e-05, 8.720722536955881e-05, -2.133856446557013e-05, 3.710423688809230e+00, 3.729357084395418e-08, -2.192651574132776e-02, 7.766953336402774e-06, 8.921965460451977e-08, 1.000000000000000e-03, 1.000000000000000e-03, 1.427292645569172e-07
1984, 6.104351130409821e-02, 1.214030506534299e-02, 6.800757286238857e-01, 1.767967909251101e+00, -1.424358953538999e+00, 9.999999999999999e-01, 1.086542278500388e-03, 3.934111061303014e+03, 9.579221656901314e-01, 8.524861951209248e-04, 1.360151457247771e+00, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.083026925920218e-05, 1.787461327811589e-04, -1.206078961389184e-04, 6.278470204658389e+00, 5.765076321826012e-08, -5.380215140422789e-02, 5.709368799637612e-06, 1.112229858468455e-07, 1.000000000000000e-03, 1.000000000000000e-03, 2.761849529841477e-07
1985, 6.104351130410581e-02, 1.174017872897757e-02, 7.164039814358367e-01, 1.886070017645853e+00, -1.510034908712117e+00, 1.000000000000000e+00, 1.827156222307876e-03, 3.175384503443413e+03, 9.585510534522043e-01, 1.455642637973262e-03, 1.432807962871673e+00, 1.000000000000000e+00, 1.458439571647119e-05, 3.014109000000000e+05, 9.102498725140235e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 9.477680851432122e-06, 1.025596738776572e-04, -1.385369489002147e-04, 2.856676315342864e+00, 6.935874589374705e-08, -7.084693804621461e-02, 8.383723539144527e-06, 9.451455450507536e-08, 1.000000000000000e-03, 1.000000000000000e-03, 5.754125902946533e-07
